"","Country","Technology","NumPlants","TotalCapacity.MW.","UtCite"
"1","China","Coal",2427,666142,"Tong18"
"2","India","Coal",368,106439,"Tong18"
"3","United States","Coal",572,341568,"Tong18"
"4","Europe","Coal",703,226848,"Tong18"
"5","Russian Federation","Coal",101,48851,"Tong18"
"6","Rest of Asia","Coal",295,147627,"Tong18"
"7","Latin America+Canada","Coal",59,28626,"Tong18"
"8","Middle East+Africa","Coal",94,59187,"Tong18"
"9","Rest of the world","Coal",47,32253,"Tong18"
"10","Global","Coal",4666,1657540,"Tong18"
"11","China","Natural gas",91,30143,"Tong18"
"12","India","Natural gas",169,20177,"Tong18"
"13","United States","Natural gas",1521,448671,"Tong18"
"14","Europe","Natural gas",4690,196148,"Tong18"
"15","Russian Federation","Natural gas",421,102519,"Tong18"
"16","Rest of Asia","Natural gas",1306,187760,"Tong18"
"17","Latin America+Canada","Natural gas",610,86281,"Tong18"
"18","Middle East+Africa","Natural gas",713,194536,"Tong18"
"19","Rest of the world","Natural gas",242,17628,"Tong18"
"20","Global","Natural gas",9761,1283864,"Tong18"
"21","China","Oil",187,13834,"Tong18"
"22","India","Oil",393,6524,"Tong18"
"23","United States","Oil",933,59315,"Tong18"
"24","Europe","Oil",1484,78564,"Tong18"
"25","Russian Federation","Oil",118,4042,"Tong18"
"26","Rest of Asia","Oil",3301,107034,"Tong18"
"27","Latin America+Canada","Oil",2076,63686,"Tong18"
"28","Middle East+Africa","Oil",1784,102773,"Tong18"
"29","Rest of the world","Oil",434,4512,"Tong18"
"30","Global","Oil",10700,440284,"Tong18"
